"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"B101"	"B102"	"B103"	"B104"	"B105"	"B106"	"B107"	"B108"	"B109"	"B110"	"B111"	"B112"	"B113"	"B114"	"B115"	"B116"	"B117"	"B118"	"B119"	"B120"	"B121"	"B122"	"B123"	"B124"	"B210"	"B206"	"B221"	"B217"	"B212"	"B218"	"B203"	"B213"	"B219"	"B223"	"B208"	"B220"	"B207"	"B209"	"B205"	"B204"	"B215"	"B201"	"B222"	"B224"	"B202"	"B211"	"B216"	"B214"	"B301"	"B302"	"B303"	"B304"	"B305"	"B306"	"B307"	"B308"	"B309"	"B310"	"B311"	"B312"	"B313"	"B314"	"B315"	"B316"	"B317"	"B318"	"B319"	"B320"	"B321"	"B322"	"B323"	"B324"	"B401"	"B402"	"B403"	"B404"	"B405"	"B406"	"B407"	"B408"	"B409"	"B410"	"B411"	"B412"	"B413"	"B414"	"B415"	"B416"	"B417"	"B418"	"B419"	"B420"	"B421"	"B422"	"B423"	"B424"	"B501"	"B502"	"B503"	"B504"	"B505"	"B506"	"B507"	"B508"	"B509"	"B510"	"B511"	"B512"	"B513"	"B514"	"B515"	"B516"	"B517"	"B518"	"B519"	"B520"	"B521"	"B522"	"B523"	"B524"	"B601"	"B602"	"B603"	"B604"	"B605"	"B606"	"B607"	"B608"	"B609"	"B610"	"B611"	"B612"	"B613"	"B614"	"B615"	"B616"	"B617"	"B618"	"B619"	"B620"	"B621"	"B622"	"B623"	"B624"	"B701"	"B702"	"B703"	"B704"	"B705"	"B706"	"B707"	"B708"	"B709"	"B710"	"B711"	"B712"	"B713"	"B714"	"B715"	"B716"	"B717"	"B718"	"B719"	"B720"	"B721"	"B722"	"B723"	"B724"	"B801"	"B802"	"B803"	"B804"	"B805"	"B806"	"B807"	"B808"	"B809"	"B810"	"B811"	"B812"	"B813"	"B814"	"B815"	"B816"	"B817"	"B818"	"B819"	"B820"	"B821"	"B822"	"B823"	"B824"	"B907"	"B916"	"B905"	"B903"	"B904"	"B921"	"B906"	"B914"	"B901"	"B924"	"B911"	"B913"	"B915"	"B908"	"B912"	"B917"	"B910"	"B920"	"B902"	"B923"	"B918"	"B909"	"B922"	"B919"	"C101"	"C102"	"C103"	"C104"	"C105"	"C106"	"C107"	"C108"	"C109"	"C110"	"C111"	"C112"	"C113"	"C114"	"C115"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C122"	"C123"	"C124"	"C201"	"C202"	"C203"	"C204"	"C205"	"C206"	"C207"	"C208"	"C209"	"C210"	"C211"	"C212"	"C213"	"C214"	"C215"	"C216"	"C217"	"C218"	"C219"	"C220"	"C221"	"C222"	"C223"	"C224"	"C301"	"C302"	"C303"	"C304"	"C305"	"C306"	"C307"	"C308"	"C309"	"C310"	"C311"	"C312"	"C313"	"C314"	"C315"	"C316"	"C317"	"C318"	"C319"	"C320"	"C321"	"C322"	"C323"	"C324"	"C349_01"	"DE02"	"DE02_06"	"DE07"	"DE09"	"DE05"	"DE05_01"	"DE08"	"FB01_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
579	"CASE000578"	"578"	"bogen7"	"interview"	2022-06-13 15:44:02																																																																																																																																																	2	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1																																																																																																																										1		1		2				3	31	111	18	3	0		2022-06-13 15:46:48	1	0	5	5	4	1		100
581	"CASE000580"	"580"	"bogen12"	"interview"	2022-06-13 15:44:06																																																																																																																																																																																																																																																																									1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1		3		4	2	2				12	14	82	25	8	141		2022-06-13 15:46:27	1	0	5	5	3	1	2.14	79
587	"CASE000586"	"586"	"bogen11"	"interview"	2022-06-13 15:44:26																																																																																																																																																																																																																																																	2	2	2	1	2	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2																										1		1		2				12	55	117	29	4	217		2022-06-13 15:48:03	1	0	5	5	4	1	1.64	34
589	"CASE000588"	"588"	"bogen2"	"interview"	2022-06-13 15:45:57																									2	1	2	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	2																																																																																																																																																																																																																																																		3		2	3	2				2	4	109	14	7	136		2022-06-13 15:48:13	1	0	5	5	7	1	1.99	209
605	"CASE000604"	"604"	"bogen3"	"interview"	2022-06-13 15:54:10																																																	1	1	1	2	2	1	1	2	1	1	2	1	2	2	1	1	2	2	2	2	2	1	2	2																																																																																																																																																																																																																										1		1		2				36	220	530	20	12	818		2022-06-13 16:07:48	1	0	5	5	4	1	0.61	0
607	"CASE000606"	"606"	"bogen1"	"interview"	2022-06-13 15:54:27	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																										3		3	5	2				5	20	98	20	12	155		2022-06-13 15:57:02	1	0	5	5	3	1	1.51	31
617	"CASE000616"	"616"	"bogen10"	"interview"	2022-06-13 15:55:59																																																																																																																																																																																																																									1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1	1																																																		4		1		1	" -1"	1		8	24	241	51	14	0		2022-06-13 16:01:38	1	0	5	5	3	1		100
625	"CASE000624"	"624"	"bogen1"	"interview"	2022-06-13 15:58:03	1	2	1	1	2	1	1	2	2	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1																																																																																																																																																																																																																																																																										1		1		2				3	27	153	18	6	207		2022-06-13 16:01:31	1	0	5	5	4	1	1.59	31
633	"CASE000632"	"632"	"bogen2"	"interview"	2022-06-13 15:58:27																									2	1	2	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2																																																																																																																																																																																																																																																		1		1		2				81	148	179	13	1	422		2022-06-13 16:05:29	1	0	5	5	7	1	1.27	63
635	"CASE000634"	"634"	"bogen12"	"interview"	2022-06-13 15:58:49																																																																																																																																																																																																																																																																									2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	2	2	1	2	2	1	2	2	1		2		2	3	2				6	8	116	24	9	163		2022-06-13 16:01:32	1	0	5	5	3	1	2.14	129
643	"CASE000642"	"642"	"bogen8"	"interview"	2022-06-13 16:00:05																																																																																																																																																																									2	2	2	1	2	1	2	2	1	2	2	2	2	1	1	1	2	1	1	1	1	1	1	2																																																																																																		2		1		2				4	17	209	152	18	267		2022-06-13 16:06:45	1	0	5	5	4	1	1.39	31
663	"CASE000662"	"662"	"bogen2"	"interview"	2022-06-13 16:05:10																									1	2	2	1	1	2	1	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	2																																																																																																																																																																																																																																																		3		1		2				10	133	242	21	2	408		2022-06-13 16:11:58	1	0	5	5	7	1	1.6	42
665	"CASE000664"	"664"	"bogen3"	"interview"	2022-06-13 16:07:05																																																	1	1	1	2	1	2	1	2	2	1	2	1	1	1	1	1	2	1	2	2	1	2	2	1																																																																																																																																																																																																																										1		1		2			"Hope the AI will not be sexist or racist"	2	4	85	18	14	123		2022-06-13 16:09:09	1	0	5	5	0	0	2.06	159
667	"CASE000666"	"666"	"bogen10"	"interview"	2022-06-13 16:07:12																																																																																																																																																																																																																									1	1	2	1	2	2	1	2	2	1	1	2	2	2	1	2	1	1	1	1	2	2	1	1																																																		5		2	3	2				34	109	214	16	56	0		2022-06-13 16:14:21	1	0	5	5	3	1		100
673	"CASE000672"	"672"	"bogen4"	"interview"	2022-06-13 16:08:52																																																																									1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	2	1																																																																																																																																																																																																		3		3	2	2				18674	70	2216	13	9	0		2022-06-13 21:58:34	1	0	5	5	3	1		100
681	"CASE000680"	"680"	"bogen7"	"interview"	2022-06-13 16:10:52																																																																																																																																																	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1																																																																																																																										3		1		2				11440	224	186	16	2	0		2022-06-13 19:28:40	1	0	5	5	4	1		100
685	"CASE000684"	"684"	"bogen3"	"interview"	2022-06-13 16:11:52																																																	1	2	1	1	2	1	1	1	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	1																																																																																																																																																																																																																										3		1		2				5	36	112	12	3	168		2022-06-13 16:14:40	1	0	5	5	4	1	2.21	72
691	"CASE000690"	"690"	"bogen5"	"interview"	2022-06-13 16:14:57																																																																																																	2	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	1																																																																																																																																																																										3		1		1	"miopia"	1		251	319	432	51	16	0		2022-06-13 16:32:46	1	0	5	5	3	1		100
693	"CASE000692"	"692"	"bogen9"	"interview"	2022-06-13 16:15:25																																																																																																																																																																																																	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1	1																																																																										3		1		1	" -6"	2		2	161	148	19	12	342		2022-06-13 16:21:07	1	0	5	5	3	1	1.47	105
713	"CASE000712"	"712"	"bogen3"	"interview"	2022-06-13 16:20:36																																																	2	2	1	2	2	1	1	2	2	2	2	2	1	2	2	1	2	2	1	2	1	2	1	2																																																																																																																																																																																																																										2		1		2			"{EM_SLIGHTLY_SMILING_FACE}"	7	10	124	17	8	166		2022-06-13 16:23:22	1	0	5	5	0	0	1.77	100
733	"CASE000732"	"732"	"bogen3"	"interview"	2022-06-13 16:28:01																																																	1	2	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	2	1	2	1	1	2	1																																																																																																																																																																																																																										2		1		2				91	194	202	40	3	450		2022-06-13 16:36:51	1	0	5	5	4	1	1.01	32
735	"CASE000734"	"734"	"bogen10"	"interview"	2022-06-13 16:28:03																																																																																																																																																																																																																									1	1	2	1	1	1	2	2	1	1	1	2	2	2	1	2	1	1	2	1	2	2	2	2																																																		3		3	3	2				77	115	228	29	20	0		2022-06-13 16:35:52	1	0	5	5	3	1		100
741	"CASE000740"	"740"	"bogen8"	"interview"	2022-06-13 16:29:37																																																																																																																																																																									2	1	2	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2																																																																																																		2		2	4	2				2	44	201	34	17	298		2022-06-13 16:34:35	1	0	5	5	3	1	1.29	36
743	"CASE000742"	"742"	"bogen6"	"interview"	2022-06-13 16:31:22																																																																																																																									1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	2	1	1	1																																																																																																																																																		1		1		2				2	101	108	37	3	0		2022-06-13 16:35:33	1	0	5	5	4	1		100
757	"CASE000756"	"756"	"bogen4"	"interview"	2022-06-13 16:42:25																																																																									1	2	2	1	2	1	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1																																																																																																																																																																																																		2		1		2				115	257	375	83	3	0		2022-06-13 16:56:18	1	0	5	5	4	1		100
761	"CASE000760"	"760"	"bogen2"	"interview"	2022-06-13 16:43:33																									1	2	2	1	2	2	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1																																																																																																																																																																																																																																																		4		1		2				2	16	73	22	2	115		2022-06-13 16:45:28	1	0	5	5	7	1	2.48	199
783	"CASE000782"	"782"	"bogen1"	"interview"	2022-06-13 17:00:36	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	2	1	1	1	2	2	2	1																																																																																																																																																																																																																																																																										3		1		2				90	145	158	119	3	338		2022-06-13 17:09:11	1	0	5	5	4	1	0.66	7
785	"CASE000784"	"784"	"bogen7"	"interview"	2022-06-13 17:06:31																																																																																																																																																	1	2	1	2	1	2	1	2	2	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2																																																																																																																										2		1		2				13	122	218	20	3	0		2022-06-13 17:12:47	1	0	5	5	4	1		100
789	"CASE000788"	"788"	"bogen8"	"interview"	2022-06-13 17:07:57																																																																																																																																																																									2	2	2	1	2	1	2	2	2	2	1	2	2	2	1	2	2	1	1	1	2	1	2	2																																																																																																		4		1		2			"Nothing:)"	3	10	57	11	10	91		2022-06-13 17:09:28	1	0	5	5	0	0	2.42	90
801	"CASE000800"	"800"	"bogen2"	"interview"	2022-06-13 17:27:07																									1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2																																																																																																																																																																																																																																																		2		1		2				6	48	196	14	1	265		2022-06-13 17:31:33	1	0	5	5	7	1	2.07	108
815	"CASE000814"	"814"	"bogen12"	"interview"	2022-06-13 17:42:41																																																																																																																																																																																																																																																																									1	1	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1		3		3	2	2				44	148	249	19	21	481		2022-06-13 17:50:42	1	0	5	5	3	1	0.8	3
823	"CASE000822"	"822"	"bogen11"	"interview"	2022-06-13 17:49:07																																																																																																																																																																																																																																																	2	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	1	1	2	2	1	2	1	2																										1		1		2				4	25	100	14	3	146		2022-06-13 17:51:33	1	0	5	5	4	1	2.53	102
834	"CASE000833"	"833"	"bogen12"	"interview"	2022-06-13 17:54:53																																																																																																																																																																																																																																																																									2	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	2	2	2	1	1	2	2		5		1		2				6	29	97	29	3	164		2022-06-13 17:57:37	1	0	5	5	4	1	2.33	102
838	"CASE000837"	"837"	"bogen9"	"interview"	2022-06-13 17:56:24																																																																																																																																																																																																	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	2	2	2	2	1	2	1	1																																																																										3		2	3	2				5	71	383	15	13	487		2022-06-13 18:04:31	1	0	5	5	3	1	1.62	104
846	"CASE000845"	"845"	"bogen3"	"interview"	2022-06-13 18:04:05																																																	2	1	1	1	2	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	1	2	1	2																																																																																																																																																																																																																										4		2	3	2				51	123	224	51	17	433		2022-06-13 18:11:51	1	0	5	5	3	1	0.59	0
868	"CASE000867"	"867"	"bogen11"	"interview"	2022-06-13 18:33:48																																																																																																																																																																																																																																																	2	2	2	1	1	1	2	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	1	1																										3		1		2				69	176	284	29	4	562		2022-06-13 18:43:10	1	0	5	5	4	1	0.87	8
876	"CASE000875"	"875"	"bogen4"	"interview"	2022-06-13 18:45:51																																																																									1	2	2	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2																																																																																																																																																																																																		3		2	3	2				21	66	211	24	8	0		2022-06-13 18:51:22	1	0	5	5	3	1		100
884	"CASE000883"	"883"	"bogen7"	"interview"	2022-06-13 18:52:52																																																																																																																																																	2	2	2	2	2	1	1	1	1	1	1	2	1	2	2	1	1	2	2	1	1	1	1	1																																																																																																																										3		1		2				13	661	163	31	4	0		2022-06-13 19:07:25	1	0	5	5	4	1		100
900	"CASE000899"	"899"	"bogen9"	"interview"	2022-06-13 19:05:48																																																																																																																																																																																																	1	2	1	2	1	2	2	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	2	1																																																																										2		1		2				45	78	168	18	2	311		2022-06-13 19:10:59	1	0	5	5	4	1	1.72	61
904	"CASE000903"	"903"	"bogen7"	"interview"	2022-06-13 19:06:58																																																																																																																																																	1	2	2	2	1	1	2	1	2	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1																																																																																																																										3		1		2				12	62	126	9	19	0		2022-06-13 19:10:46	1	0	5	5	4	1		100
912	"CASE000911"	"911"	"bogen2"	"interview"	2022-06-13 19:16:26																									1	2	2	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	1	2	2	2	1																																																																																																																																																																																																																																																		1		3	3	2				5	135	224	15	10	389		2022-06-13 19:22:56	1	0	5	5	7	1	1.29	44
920	"CASE000919"	"919"	"bogen5"	"interview"	2022-06-13 19:29:43																																																																																																	1	2	1	2	2	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2																																																																																																																																																																										3		2	3	2				25	72	112	15	10	0		2022-06-13 19:33:37	1	0	5	5	3	1		100
922	"CASE000921"	"921"	"bogen3"	"interview"	2022-06-13 19:33:17																																																	1	1	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	1	2	2	1	2	2	1																																																																																																																																																																																																																										2		1		2				3	41	182	20	6	252		2022-06-13 19:37:29	1	0	5	5	4	1	1.87	51
926	"CASE000925"	"925"	"bogen1"	"interview"	2022-06-13 19:40:42	1	1	1	1	2	1	2	2	1	1	2	2	1	2	1	1	2	1	1	1	2	1	1	2																																																																																																																																																																																																																																																																										3		1		2				8	46	157	67	2	280		2022-06-13 19:45:22	1	0	5	5	4	1	1.22	17
928	"CASE000927"	"927"	"bogen8"	"interview"	2022-06-13 19:47:03																																																																																																																																																																									2	1	1	1	2	1	1	2	2	2	1	2	2	2	1	1	2	1	2	2	1	2	2	2																																																																																																		1		1		2				7	49	117	19	11	203		2022-06-13 19:50:26	1	0	5	5	4	1	1.23	11
932	"CASE000931"	"931"	"bogen6"	"interview"	2022-06-13 19:50:04																																																																																																																									1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1																																																																																																																																																		5		5	2	2				68	164	483	60	21	0		2022-06-13 20:03:20	1	0	5	5	3	1		100
943	"CASE000942"	"942"	"bogen3"	"interview"	2022-06-13 20:25:59																																																	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1																																																																																																																																																																																																																										3		3	3	2				3	9	1175	12	6	237		2022-06-13 20:46:05	1	0	5	5	3	1	1.95	134
949	"CASE000948"	"948"	"bogen12"	"interview"	2022-06-13 20:33:27																																																																																																																																																																																																																																																																									1	2	1	2	2	1	1	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	1		4		3	3	1	"Red-green color blindness:)"	3	"Lisa is nice a smart girl :)"	7	259	241	31	22	560		2022-06-13 20:42:48	1	0	5	5	0	0	1.14	25
951	"CASE000950"	"950"	"bogen4"	"interview"	2022-06-13 20:43:59																																																																									1	2	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	1	1																																																																																																																																																																																																		1		1		2				4	13	230	15	2	0		2022-06-13 20:48:23	1	0	5	5	4	1		100
979	"CASE000978"	"978"	"bogen6"	"interview"	2022-06-13 22:48:18																																																																																																																									1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1																																																																																																																																																		7		1		2			"It was pretty fun and the first time I actively looked something up about AI. I dont know how I did but thanks for the experience "	7	86	80	25	47	0		2022-06-13 22:52:23	1	0	5	5	0	0		100
981	"CASE000980"	"980"	"bogen2"	"interview"	2022-06-13 22:49:16																									1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1																																																																																																																																																																																																																																																		3		1		2				45	163	233	16	3	460		2022-06-13 22:56:57	1	0	5	5	7	1	1.08	13
985	"CASE000984"	"984"	"bogen12"	"interview"	2022-06-13 22:54:37																																																																																																																																																																																																																																																																									1	1	1	2	1	1	1	2	1	1	2	2	2	2	1	1	1	2	2	1	1	1	2	1		3		1		2			"Easy to follow. 
If possible cut extent of instruction 
People are lazy "	7	87	149	14	39	296		2022-06-13 22:59:33	1	0	5	5	0	0	1.5	37
989	"CASE000988"	"988"	"bogen11"	"interview"	2022-06-13 22:58:46																																																																																																																																																																																																																																																	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	2																										3		1		2				113	117	141	9	2	382		2022-06-13 23:05:09	1	0	5	5	4	1	1.72	50
997	"CASE000996"	"996"	"bogen7"	"interview"	2022-06-14 00:11:23																																																																																																																																																	2	2	1	1	2	2	2	1	2	1	1	1	2	2	2	2	2	1	2	2	1	2	1	1																																																																																																																										4		2	3	2				7	45	114	14	24	0		2022-06-14 00:14:47	1	0	5	5	3	1		100
