,question_id,qiestionnaire_number,question_number,classification_result,user_decision_yes,user_decision_no,method,model
0,B101,1,1,,5,5,,
1,B102,1,2,,5,5,,
2,B103,1,3,,7,3,,
3,B104,1,4,,7,3,,
4,B105,1,5,,8,2,,
5,B106,1,6,,7,3,,
6,B107,1,7,,7,3,,
7,B108,1,8,,3,7,,
8,B109,1,9,,7,3,,
9,B110,1,10,,9,1,,
10,B111,1,11,,5,5,,
11,B112,1,12,,0,10,,
12,B113,1,13,,6,4,,
13,B114,1,14,,1,9,,
14,B115,1,15,,10,0,,
15,B116,1,16,,6,4,,
16,B117,1,17,,2,8,,
17,B118,1,18,,7,3,,
18,B119,1,19,,10,0,,
19,B120,1,20,,6,4,,
20,B121,1,21,,4,6,,
21,B122,1,22,,3,7,,
22,B123,1,23,,4,6,,
23,B124,1,24,,6,4,,
24,B210,2,1,,12,4,,
25,B206,2,2,,4,12,,
26,B221,2,3,,1,15,,
27,B217,2,4,,16,0,,
28,B212,2,5,,14,2,,
29,B218,2,6,,4,12,,
30,B203,2,7,,16,0,,
31,B213,2,8,,4,12,,
32,B219,2,9,,6,10,,
33,B223,2,10,,8,8,,
34,B208,2,11,,9,7,,
35,B220,2,12,,13,3,,
36,B207,2,13,,14,2,,
37,B209,2,14,,13,3,,
38,B205,2,15,,9,7,,
39,B204,2,16,,7,9,,
40,B215,2,17,,6,10,,
41,B201,2,18,,14,2,,
42,B222,2,19,,14,2,,
43,B224,2,20,,12,4,,
44,B202,2,21,,5,11,,
45,B211,2,22,,9,7,,
46,B216,2,23,,9,7,,
47,B214,2,24,,11,5,,
48,B301,3,1,,13,3,,
49,B302,3,2,,8,8,,
50,B303,3,3,,16,0,,
51,B304,3,4,,9,7,,
52,B305,3,5,,11,5,,
53,B306,3,6,,12,4,,
54,B307,3,7,,16,0,,
55,B308,3,8,,6,10,,
56,B309,3,9,,12,4,,
57,B310,3,10,,8,8,,
58,B311,3,11,,0,16,,
59,B312,3,12,,7,9,,
60,B313,3,13,,6,10,,
61,B314,3,14,,3,13,,
62,B315,3,15,,12,4,,
63,B316,3,16,,16,0,,
64,B317,3,17,,6,10,,
65,B318,3,18,,7,9,,
66,B319,3,19,,4,12,,
67,B320,3,20,,2,14,,
68,B321,3,21,,12,4,,
69,B322,3,22,,8,8,,
70,B323,3,23,,5,11,,
71,B324,3,24,,10,6,,
72,B401,4,1,,9,0,,
73,B402,4,2,,4,5,,
74,B403,4,3,,1,8,,
75,B404,4,4,,5,4,,
76,B405,4,5,,5,4,,
77,B406,4,6,,7,2,,
78,B407,4,7,,5,4,,
79,B408,4,8,,6,3,,
80,B409,4,9,,6,3,,
81,B410,4,10,,7,2,,
82,B411,4,11,,1,8,,
83,B412,4,12,,0,9,,
84,B413,4,13,,2,7,,
85,B414,4,14,,4,5,,
86,B415,4,15,,9,0,,
87,B416,4,16,,6,3,,
88,B417,4,17,,9,0,,
89,B418,4,18,,3,6,,
90,B419,4,19,,2,7,,
91,B420,4,20,,6,3,,
92,B421,4,21,,1,8,,
93,B422,4,22,,3,6,,
94,B423,4,23,,3,6,,
95,B424,4,24,,7,2,,
96,B501,5,1,,4,5,,
97,B502,5,2,,2,7,,
98,B503,5,3,,1,8,,
99,B504,5,4,,3,6,,
100,B505,5,5,,0,9,,
101,B506,5,6,,1,8,,
102,B507,5,7,,7,2,,
103,B508,5,8,,8,1,,
104,B509,5,9,,7,2,,
105,B510,5,10,,7,2,,
106,B511,5,11,,8,1,,
107,B512,5,12,,3,6,,
108,B513,5,13,,0,9,,
109,B514,5,14,,2,7,,
110,B515,5,15,,7,2,,
111,B516,5,16,,9,0,,
112,B517,5,17,,7,2,,
113,B518,5,18,,0,9,,
114,B519,5,19,,6,3,,
115,B520,5,20,,6,3,,
116,B521,5,21,,2,7,,
117,B522,5,22,,2,7,,
118,B523,5,23,,2,7,,
119,B524,5,24,,5,4,,
120,B601,6,1,,3,6,,
121,B602,6,2,,8,1,,
122,B603,6,3,,7,2,,
123,B604,6,4,,5,4,,
124,B605,6,5,,8,1,,
125,B606,6,6,,3,6,,
126,B607,6,7,,5,4,,
127,B608,6,8,,3,6,,
128,B609,6,9,,9,0,,
129,B610,6,10,,6,3,,
130,B611,6,11,,8,1,,
131,B612,6,12,,4,5,,
132,B613,6,13,,4,5,,
133,B614,6,14,,9,0,,
134,B615,6,15,,5,4,,
135,B616,6,16,,4,5,,
136,B617,6,17,,0,9,,
137,B618,6,18,,7,2,,
138,B619,6,19,,3,6,,
139,B620,6,20,,3,6,,
140,B621,6,21,,3,6,,
141,B622,6,22,,6,3,,
142,B623,6,23,,4,5,,
143,B624,6,24,,5,4,,
144,B701,7,1,,5,4,,
145,B702,7,2,,1,8,,
146,B703,7,3,,5,4,,
147,B704,7,4,,2,7,,
148,B705,7,5,,6,3,,
149,B706,7,6,,5,4,,
150,B707,7,7,,7,2,,
151,B708,7,8,,8,1,,
152,B709,7,9,,3,6,,
153,B710,7,10,,7,2,,
154,B711,7,11,,8,1,,
155,B712,7,12,,6,3,,
156,B713,7,13,,5,4,,
157,B714,7,14,,6,3,,
158,B715,7,15,,2,7,,
159,B716,7,16,,6,3,,
160,B717,7,17,,3,6,,
161,B718,7,18,,6,3,,
162,B719,7,19,,5,4,,
163,B720,7,20,,5,4,,
164,B721,7,21,,8,1,,
165,B722,7,22,,6,3,,
166,B723,7,23,,5,4,,
167,B724,7,24,,6,3,,
168,B801,8,1,,2,9,,
169,B802,8,2,,6,5,,
170,B803,8,3,,7,4,,
171,B804,8,4,,10,1,,
172,B805,8,5,,3,8,,
173,B806,8,6,,7,4,,
174,B807,8,7,,6,5,,
175,B808,8,8,,4,7,,
176,B809,8,9,,4,7,,
177,B810,8,10,,1,10,,
178,B811,8,11,,9,2,,
179,B812,8,12,,5,6,,
180,B813,8,13,,0,11,,
181,B814,8,14,,5,6,,
182,B815,8,15,,8,3,,
183,B816,8,16,,8,3,,
184,B817,8,17,,4,7,,
185,B818,8,18,,10,1,,
186,B819,8,19,,7,4,,
187,B820,8,20,,8,3,,
188,B821,8,21,,6,5,,
189,B822,8,22,,4,7,,
190,B823,8,23,,1,10,,
191,B824,8,24,,2,9,,
192,B907,9,1,,5,5,,
193,B916,9,2,,2,8,,
194,B905,9,3,,10,0,,
195,B903,9,4,,6,4,,
196,B904,9,5,,10,0,,
197,B921,9,6,,0,10,,
198,B906,9,7,,1,9,,
199,B914,9,8,,7,3,,
200,B901,9,9,,9,1,,
201,B924,9,10,,6,4,,
202,B911,9,11,,8,2,,
203,B913,9,12,,5,5,,
204,B915,9,13,,9,1,,
205,B908,9,14,,6,4,,
206,B912,9,15,,8,2,,
207,B917,9,16,,9,1,,
208,B910,9,17,,2,8,,
209,B920,9,18,,1,9,,
210,B902,9,19,,3,7,,
211,B923,9,20,,4,6,,
212,B918,9,21,,5,5,,
213,B909,9,22,,3,7,,
214,B922,9,23,,7,3,,
215,B919,9,24,,9,1,,
216,C101,10,1,,9,0,,
217,C102,10,2,,9,0,,
218,C103,10,3,,1,8,,
219,C104,10,4,,8,1,,
220,C105,10,5,,5,4,,
221,C106,10,6,,5,4,,
222,C107,10,7,,6,3,,
223,C108,10,8,,1,8,,
224,C109,10,9,,6,3,,
225,C110,10,10,,6,3,,
226,C111,10,11,,8,1,,
227,C112,10,12,,4,5,,
228,C113,10,13,,5,4,,
229,C114,10,14,,4,5,,
230,C115,10,15,,7,2,,
231,C116,10,16,,2,7,,
232,C117,10,17,,9,0,,
233,C118,10,18,,9,0,,
234,C119,10,19,,4,5,,
235,C120,10,20,,7,2,,
236,C121,10,21,,0,9,,
237,C122,10,22,,1,8,,
238,C123,10,23,,4,5,,
239,C124,10,24,,6,3,,
240,C201,11,1,,3,8,,
241,C202,11,2,,1,10,,
242,C203,11,3,,4,7,,
243,C204,11,4,,9,2,,
244,C205,11,5,,10,1,,
245,C206,11,6,,8,3,,
246,C207,11,7,,1,10,,
247,C208,11,8,,5,6,,
248,C209,11,9,,4,7,,
249,C210,11,10,,10,1,,
250,C211,11,11,,3,8,,
251,C212,11,12,,10,1,,
252,C213,11,13,,7,4,,
253,C214,11,14,,3,8,,
254,C215,11,15,,2,9,,
255,C216,11,16,,4,7,,
256,C217,11,17,,10,1,,
257,C218,11,18,,5,6,,
258,C219,11,19,,1,10,,
259,C220,11,20,,3,8,,
260,C221,11,21,,7,4,,
261,C222,11,22,,1,10,,
262,C223,11,23,,5,6,,
263,C224,11,24,,3,8,,
264,C301,12,1,,7,5,,
265,C302,12,2,,10,2,,
266,C303,12,3,,12,0,,
267,C304,12,4,,3,9,,
268,C305,12,5,,6,6,,
269,C306,12,6,,11,1,,
270,C307,12,7,,11,1,,
271,C308,12,8,,4,8,,
272,C309,12,9,,11,1,,
273,C310,12,10,,9,3,,
274,C311,12,11,,5,7,,
275,C312,12,12,,2,10,,
276,C313,12,13,,4,8,,
277,C314,12,14,,7,5,,
278,C315,12,15,,4,8,,
279,C316,12,16,,5,7,,
280,C317,12,17,,4,8,,
281,C318,12,18,,5,7,,
282,C319,12,19,,6,6,,
283,C320,12,20,,9,3,,
284,C321,12,21,,10,2,,
285,C322,12,22,,8,4,,
286,C323,12,23,,2,10,,
287,C324,12,24,,11,1,,
